           ï»¿nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"BI Rate";"Tidak Ada";2022;Januari;3.5;"BI Rate"
"BI Rate";"Tidak Ada";2022;Februari;3.5;"BI Rate"
"BI Rate";"Tidak Ada";2022;Maret;3.5;"BI Rate"
"BI Rate";"Tidak Ada";2022;April;3.5;"BI Rate"
"BI Rate";"Tidak Ada";2022;Mei;3.5;"BI Rate"
"BI Rate";"Tidak Ada";2022;Juni;3.5;"BI Rate"
"BI Rate";"Tidak Ada";2022;Juli;3.5;"BI Rate"
"BI Rate";"Tidak Ada";2022;Agustus;3.75;"BI Rate"
"BI Rate";"Tidak Ada";2022;September;4.25;"BI Rate"
"BI Rate";"Tidak Ada";2022;Oktober;4.75;"BI Rate"
"BI Rate";"Tidak Ada";2022;November;5.25;"BI Rate"
"BI Rate";"Tidak Ada";2022;Desember;5.5;"BI Rate"
"BI Rate";"Tidak Ada";2021;Januari;3.75;"BI Rate"
"BI Rate";"Tidak Ada";2021;Februari;3.5;"BI Rate"
"BI Rate";"Tidak Ada";2021;Maret;3.5;"BI Rate"
"BI Rate";"Tidak Ada";2021;April;3.5;"BI Rate"
"BI Rate";"Tidak Ada";2021;Mei;3.5;"BI Rate"
"BI Rate";"Tidak Ada";2021;Juni;3.5;"BI Rate"
"BI Rate";"Tidak Ada";2021;Juli;3.5;"BI Rate"
"BI Rate";"Tidak Ada";2021;Agustus;3.5;"BI Rate"
"BI Rate";"Tidak Ada";2021;September;3.5;"BI Rate"
"BI Rate";"Tidak Ada";2021;Oktober;3.5;"BI Rate"
"BI Rate";"Tidak Ada";2021;November;3.5;"BI Rate"
"BI Rate";"Tidak Ada";2021;Desember;3.5;"BI Rate"
"BI Rate";"Tidak Ada";2020;Januari;5;"BI Rate"
"BI Rate";"Tidak Ada";2020;Februari;4.75;"BI Rate"
"BI Rate";"Tidak Ada";2020;Maret;4.5;"BI Rate"
"BI Rate";"Tidak Ada";2020;April;4.5;"BI Rate"
"BI Rate";"Tidak Ada";2020;Mei;4.5;"BI Rate"
"BI Rate";"Tidak Ada";2020;Juni;4.25;"BI Rate"
"BI Rate";"Tidak Ada";2020;Juli;4;"BI Rate"
"BI Rate";"Tidak Ada";2020;Agustus;4;"BI Rate"
"BI Rate";"Tidak Ada";2020;September;4;"BI Rate"
"BI Rate";"Tidak Ada";2020;Oktober;4;"BI Rate"
"BI Rate";"Tidak Ada";2020;November;3.75;"BI Rate"
"BI Rate";"Tidak Ada";2020;Desember;3.75;"BI Rate"
"BI Rate";"Tidak Ada";2019;Januari;6;"BI Rate"
"BI Rate";"Tidak Ada";2019;Februari;6;"BI Rate"
"BI Rate";"Tidak Ada";2019;Maret;6;"BI Rate"
"BI Rate";"Tidak Ada";2019;April;6;"BI Rate"
"BI Rate";"Tidak Ada";2019;Mei;6;"BI Rate"
"BI Rate";"Tidak Ada";2019;Juni;6;"BI Rate"
"BI Rate";"Tidak Ada";2019;Juli;5.75;"BI Rate"
"BI Rate";"Tidak Ada";2019;Agustus;5.5;"BI Rate"
"BI Rate";"Tidak Ada";2019;September;5.25;"BI Rate"
"BI Rate";"Tidak Ada";2019;Oktober;5;"BI Rate"
"BI Rate";"Tidak Ada";2019;November;5;"BI Rate"
"BI Rate";"Tidak Ada";2019;Desember;5;"BI Rate"
"BI Rate";"Tidak Ada";2018;Januari;4.25;"BI Rate"
"BI Rate";"Tidak Ada";2018;Februari;4.25;"BI Rate"
"BI Rate";"Tidak Ada";2018;Maret;4.25;"BI Rate"
"BI Rate";"Tidak Ada";2018;April;4.25;"BI Rate"
"BI Rate";"Tidak Ada";2018;Mei;4.75;"BI Rate"
"BI Rate";"Tidak Ada";2018;Juni;5.25;"BI Rate"
"BI Rate";"Tidak Ada";2018;Juli;5.25;"BI Rate"
"BI Rate";"Tidak Ada";2018;Agustus;5.5;"BI Rate"
"BI Rate";"Tidak Ada";2018;September;5.75;"BI Rate"
"BI Rate";"Tidak Ada";2018;Oktober;5.75;"BI Rate"
"BI Rate";"Tidak Ada";2018;November;6;"BI Rate"
"BI Rate";"Tidak Ada";2018;Desember;6;"BI Rate"
"BI Rate";"Tidak Ada";2017;Januari;4.75;"BI Rate"
"BI Rate";"Tidak Ada";2017;Februari;4.75;"BI Rate"
"BI Rate";"Tidak Ada";2017;Maret;4.75;"BI Rate"
"BI Rate";"Tidak Ada";2017;April;4.75;"BI Rate"
"BI Rate";"Tidak Ada";2017;Mei;4.75;"BI Rate"
"BI Rate";"Tidak Ada";2017;Juni;4.75;"BI Rate"
"BI Rate";"Tidak Ada";2017;Juli;4.75;"BI Rate"
"BI Rate";"Tidak Ada";2017;Agustus;4.5;"BI Rate"
"BI Rate";"Tidak Ada";2017;September;4.25;"BI Rate"
"BI Rate";"Tidak Ada";2017;Oktober;4.25;"BI Rate"
"BI Rate";"Tidak Ada";2017;November;4.25;"BI Rate"
"BI Rate";"Tidak Ada";2017;Desember;4.25;"BI Rate"
"BI Rate";"Tidak Ada";2016;Januari;7.25;"BI Rate"
"BI Rate";"Tidak Ada";2016;Februari;7;"BI Rate"
"BI Rate";"Tidak Ada";2016;Maret;6.75;"BI Rate"
"BI Rate";"Tidak Ada";2016;April;6.75;"BI Rate"
"BI Rate";"Tidak Ada";2016;Mei;6.75;"BI Rate"
"BI Rate";"Tidak Ada";2016;Juni;6.5;"BI Rate"
"BI Rate";"Tidak Ada";2016;Juli;6.5;"BI Rate"
"BI Rate";"Tidak Ada";2016;Agustus;5.25;"BI Rate"
"BI Rate";"Tidak Ada";2016;September;5;"BI Rate"
"BI Rate";"Tidak Ada";2016;Oktober;4.75;"BI Rate"
"BI Rate";"Tidak Ada";2016;November;4.75;"BI Rate"
"BI Rate";"Tidak Ada";2016;Desember;4.75;"BI Rate"
"BI Rate";"Tidak Ada";2015;Januari;7.75;"BI Rate"
"BI Rate";"Tidak Ada";2015;Februari;7.5;"BI Rate"
"BI Rate";"Tidak Ada";2015;Maret;7.5;"BI Rate"
"BI Rate";"Tidak Ada";2015;April;7.5;"BI Rate"
"BI Rate";"Tidak Ada";2015;Mei;7.5;"BI Rate"
"BI Rate";"Tidak Ada";2015;Juni;7.5;"BI Rate"
"BI Rate";"Tidak Ada";2015;Juli;7.5;"BI Rate"
"BI Rate";"Tidak Ada";2015;Agustus;7.5;"BI Rate"
"BI Rate";"Tidak Ada";2015;September;7.5;"BI Rate"
"BI Rate";"Tidak Ada";2015;Oktober;7.5;"BI Rate"
"BI Rate";"Tidak Ada";2015;November;7.5;"BI Rate"
"BI Rate";"Tidak Ada";2015;Desember;7.5;"BI Rate"
"BI Rate";"Tidak Ada";2014;Januari;7.5;"BI Rate"
"BI Rate";"Tidak Ada";2014;Februari;7.5;"BI Rate"
"BI Rate";"Tidak Ada";2014;Maret;7.5;"BI Rate"
"BI Rate";"Tidak Ada";2014;April;7.5;"BI Rate"
"BI Rate";"Tidak Ada";2014;Mei;7.5;"BI Rate"
"BI Rate";"Tidak Ada";2014;Juni;7.5;"BI Rate"
"BI Rate";"Tidak Ada";2014;Juli;7.5;"BI Rate"
"BI Rate";"Tidak Ada";2014;Agustus;7.5;"BI Rate"
"BI Rate";"Tidak Ada";2014;September;7.5;"BI Rate"
"BI Rate";"Tidak Ada";2014;Oktober;7.5;"BI Rate"
"BI Rate";"Tidak Ada";2014;November;7.75;"BI Rate"
"BI Rate";"Tidak Ada";2014;Desember;7.75;"BI Rate"
"BI Rate";"Tidak Ada";2013;Januari;5.75;"BI Rate"
"BI Rate";"Tidak Ada";2013;Februari;5.75;"BI Rate"
"BI Rate";"Tidak Ada";2013;Maret;5.75;"BI Rate"
"BI Rate";"Tidak Ada";2013;April;5.75;"BI Rate"
"BI Rate";"Tidak Ada";2013;Mei;5.75;"BI Rate"
"BI Rate";"Tidak Ada";2013;Juni;6;"BI Rate"
"BI Rate";"Tidak Ada";2013;Juli;6.5;"BI Rate"
"BI Rate";"Tidak Ada";2013;Agustus;7;"BI Rate"
"BI Rate";"Tidak Ada";2013;September;7.25;"BI Rate"
"BI Rate";"Tidak Ada";2013;Oktober;7.25;"BI Rate"
"BI Rate";"Tidak Ada";2013;November;7.5;"BI Rate"
"BI Rate";"Tidak Ada";2013;Desember;7.5;"BI Rate"
"BI Rate";"Tidak Ada";2012;Januari;6;"BI Rate"
"BI Rate";"Tidak Ada";2012;Februari;5.75;"BI Rate"
"BI Rate";"Tidak Ada";2012;Maret;5.75;"BI Rate"
"BI Rate";"Tidak Ada";2012;April;5.75;"BI Rate"
"BI Rate";"Tidak Ada";2012;Mei;5.75;"BI Rate"
"BI Rate";"Tidak Ada";2012;Juni;5.75;"BI Rate"
"BI Rate";"Tidak Ada";2012;Juli;5.75;"BI Rate"
"BI Rate";"Tidak Ada";2012;Agustus;5.75;"BI Rate"
"BI Rate";"Tidak Ada";2012;September;5.75;"BI Rate"
"BI Rate";"Tidak Ada";2012;Oktober;5.75;"BI Rate"
"BI Rate";"Tidak Ada";2012;November;5.75;"BI Rate"
"BI Rate";"Tidak Ada";2012;Desember;5.75;"BI Rate"
"BI Rate";"Tidak Ada";2011;Januari;6.5;"BI Rate"
"BI Rate";"Tidak Ada";2011;Februari;6.75;"BI Rate"
"BI Rate";"Tidak Ada";2011;Maret;6.75;"BI Rate"
"BI Rate";"Tidak Ada";2011;April;6.75;"BI Rate"
"BI Rate";"Tidak Ada";2011;Mei;6.75;"BI Rate"
"BI Rate";"Tidak Ada";2011;Juni;6.75;"BI Rate"
"BI Rate";"Tidak Ada";2011;Juli;6.75;"BI Rate"
"BI Rate";"Tidak Ada";2011;Agustus;6.75;"BI Rate"
"BI Rate";"Tidak Ada";2011;September;6.75;"BI Rate"
"BI Rate";"Tidak Ada";2011;Oktober;6.5;"BI Rate"
"BI Rate";"Tidak Ada";2011;November;6;"BI Rate"
"BI Rate";"Tidak Ada";2011;Desember;6;"BI Rate"
"BI Rate";"Tidak Ada";2010;Januari;6.5;"BI Rate"
"BI Rate";"Tidak Ada";2010;Februari;6.5;"BI Rate"
"BI Rate";"Tidak Ada";2010;Maret;6.5;"BI Rate"
"BI Rate";"Tidak Ada";2010;April;6.5;"BI Rate"
"BI Rate";"Tidak Ada";2010;Mei;6.5;"BI Rate"
"BI Rate";"Tidak Ada";2010;Juni;6.5;"BI Rate"
"BI Rate";"Tidak Ada";2010;Juli;6.5;"BI Rate"
"BI Rate";"Tidak Ada";2010;Agustus;6.5;"BI Rate"
"BI Rate";"Tidak Ada";2010;September;6.5;"BI Rate"
"BI Rate";"Tidak Ada";2010;Oktober;6.5;"BI Rate"
"BI Rate";"Tidak Ada";2010;November;6.5;"BI Rate"
"BI Rate";"Tidak Ada";2010;Desember;6.5;"BI Rate"
